method,score_mean,score_std,dc_mean,dc_std,hd_mean,hd_std,simulator_calls_mean,simulator_calls_std,wall_clock_time_mean,wall_clock_time_std
bayesian,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,275.4145,1.0665
phosopt_per_target,0.0,,0.0,,0.0,,50.0,,221.635,
